epoch;acc;loss;val_acc;val_loss
0;0.48356165845100196;0.7530147276512564;0.4512195252790684;0.6946536011812163
1;0.48904110989342;0.7014047230759712;0.36585367670873314;0.7060682322920823
2;0.5328767302101606;0.6988491685423133;0.35365854712521155;0.7250808332024551
3;0.5493150844965895;0.6926957292099521;0.3658536679861022;0.777802321969009
4;0.5397260460951557;0.6877587076735823;0.32926830322277256;0.8097008205041653
5;0.5698630308451718;0.6663858999944713;0.3536585525768559;0.7931267968038234
6;0.5986301521732382;0.6575061394743723;0.3292682988614571;1.0416550316461703
7;0.6068493336847384;0.6300203547085801;0.353658535495037;1.0225285437048934
8;0.6547945378577873;0.6202293727495899;0.3048780593203335;1.2296253922508984
9;0.6534246759871915;0.5849975033982159;0.32926829740768526;1.1738109995679158
10;0.6849315264453627;0.5877477333970266;0.36585366689577337;1.1255710851855394
11;0.7041096081472423;0.5383527505887697;0.3414634240836632;1.7975182969395707
0;0.668493171913983;0.6562862765299131;0.6097561208213248;0.6058850869899843
1;0.695890430228351;0.5676954881785667;0.7195122125672131;0.5629825955483971
2;0.7547945407971944;0.5177022706155907;0.6219512355036851;0.5667349856074263
3;0.8315068702175192;0.38808657739260427;0.6219512311423697;0.6396305531990237
4;0.9109589178268224;0.23964857289644137;0.6219512253272824;0.7937763791258742
5;0.9479452178902822;0.157168014449616;0.6463414808598961;0.9067106057957905
6;0.9602739775017516;0.12292538122465349;0.6341463487322737;0.9137245612900432
7;0.969863020230646;0.09762117294977381;0.6341463501860456;1.0068478090007131
8;0.9794520596935324;0.0768685650520588;0.6463414823136678;1.0195797841723373
9;0.9931506865645108;0.032258143745464825;0.670731724762335;1.0736892296046745
10;0.991780823877413;0.029081684358382903;0.6097561208213248;1.1775329883505659
11;0.9972602746258044;0.016759350817420915;0.6219512442263161;1.2615262913267786
12;0.9972602746258044;0.01278040591290074;0.6219512296885978;1.2985500257189682
0;0.9438356288491863;0.1681651510937739;1.0;0.014070562745739774
1;0.9794520596935324;0.0610837721712377;1.0;0.012238265872683103
2;0.9876712358161195;0.03536747636066986;1.0;0.008770040790096106
3;0.9849315097887222;0.04521481204795498;1.0;0.006376405575925984
4;0.991780823877413;0.02259642027321667;1.0;0.009337718567311219
5;0.9890410985032173;0.03424093825678813;1.0;0.011686828668888023
6;0.9958904119387065;0.01934912981671179;1.0;0.011219004157748892
7;0.991780823877413;0.03232584852084983;1.0;0.014591203769668937
8;0.9986301373129022;0.008816047207442789;1.0;0.010908408124544999
9;0.9945205492516086;0.03939399089714455;1.0;0.01607727056664483
10;0.9972602746258044;0.013561493290384134;1.0;0.011639042802881904
11;0.9945205492516086;0.019235838165551373;1.0;0.009072700753898882
12;0.9972602746258044;0.016824251248290737;1.0;0.008594557154560235
13;0.9958904119387065;0.014773223935052345;1.0;0.010133406266615522
14;0.9972602746258044;0.009726358299208997;1.0;0.007670705314589347
0;0.9945205492516086;0.016138655669584133;1.0;0.0010659968895153015
1;0.9986301373129022;0.00908089477426535;1.0;0.0010972113606407576
2;0.9958904119387065;0.011654581774952046;1.0;0.0006264068877765279
3;0.9986301373129022;0.006375363848298411;1.0;0.0005112750642605001
4;0.9986301366597006;0.007248966682572531;1.0;0.00044670140097168324
5;0.9986301373129022;0.007311341872542776;1.0;0.0006027428019190599
6;0.9972602739726028;0.009112045330502578;1.0;0.0006023934920782134
7;0.9958904119387065;0.013201691952902253;0.9878048809563241;0.061359385444359024
8;0.9945205492516086;0.039096690839874534;1.0;0.0010132591623249294
9;0.9904109611903151;0.023731618108089207;1.0;0.002428810694565494
10;0.9945205492516086;0.01297604442387301;1.0;0.0009888306511839336
11;0.9986301373129022;0.006924785471850031;1.0;0.0008535156859313535
12;0.9958904119387065;0.024807296391721648;1.0;0.0014646106971845368
13;0.9972602746258044;0.010216208879656945;1.0;0.000899859503810947
14;0.9945205492516086;0.016758152193982176;1.0;0.0008698030953560303
15;0.9958904119387065;0.015903744013499282;1.0;0.0011207568232892786
0;0.9890410985032173;0.03203926457817569;1.0;7.601177072146816e-05
1;0.9917808232242113;0.04058380459706588;1.0;0.00016663220037294306
2;0.9945205492516086;0.022409033697506745;1.0;0.0001743476996347365
3;0.9986301373129022;0.005861558248159949;1.0;0.00014837782483238433
4;0.9945205492516086;0.034462345751122385;1.0;0.0002718396661338175
5;0.9972602746258044;0.007626062733541478;1.0;0.0002362990459759447
6;0.9958904119387065;0.04273440376537982;1.0;0.01229966352613934
7;0.9931506865645108;0.04014767309775392;1.0;0.0002845550421492279
8;0.9972602746258044;0.028011303216498917;1.0;0.000392771363250376
9;0.9931506865645108;0.033713951225835856;1.0;0.00037035111397083867
10;0.9986301373129022;0.005294541377965014;1.0;0.00020797794756684352
11;0.9931506865645108;0.026679014221491805;1.0;0.0003528706394451835
0;0.9972602746258044;0.008283111876817016;0.9878048809563241;0.031326091738608786
1;0.9958904119387065;0.010767795066706092;0.9878048809563241;0.03511590136862119
2;0.9945205492516086;0.021213245319036293;0.9878048809563241;0.034353956410508014
3;0.9958904119387065;0.020507214437241038;0.9878048809563241;0.0367091613134551
4;0.9986301373129022;0.005089333146460756;0.9878048809563241;0.037678391672404644
5;0.9986301373129022;0.00966775228203371;0.9878048809563241;0.03940237808841985
6;0.9986301373129022;0.011690008382722276;0.9878048809563241;0.041586337554912374
7;0.9986301373129022;0.0034490663745775038;0.9878048809563241;0.04456141593130646
0;0.7095070594633129;4.5268159819320894;0.0;15.942384719848633
0;0.6830986107529049;4.7806458112219685;0.0;15.942384719848633
1;0.6989436825396309;4.80034497506182;0.0;15.942384719848633
2;0.6936619865222716;4.8924926053222295;0.0;15.942384719848633
3;0.7095070594633129;4.631440080387493;0.0;15.942384719848633
4;0.7130281891621334;4.57563408243824;0.0;15.942384719848633
5;0.7147887512831621;4.547257161476244;0.0;15.942384719848633
6;0.7112676249423497;4.604011037819823;0.0;15.942384719848633
7;0.7147887521226641;4.54756651042213;0.0;15.942384719848633
8;0.7147887508634111;4.54694783435741;0.0;15.942384719848633
9;0.7147887521226641;4.546947801616832;0.0;15.942384719848633
10;0.7165493129844397;4.518880218687193;0.0;15.942384719848633
11;0.7112676224238436;4.603701699787463;0.0;15.942384719848633
0;0.7095070594633129;4.53143325741862;0.0;15.942384719848633
1;0.7130281908411376;4.575324743566379;0.0;15.942384719848633
2;0.7147887525424151;4.546947820925377;0.0;15.942384719848633
3;0.7147887493942825;4.547566491953085;0.0;15.942384719848633
4;0.7130281891621334;4.552641411062698;0.0;15.942384719848633
5;0.7147887527522906;4.546947814209362;0.0;15.942384719848633
6;0.7147887521226641;4.546947819246373;0.0;15.942384719848633
7;0.7147887508634111;4.546947806653842;0.0;15.942384719848633
